File Name,Audit Company,Project Name,Audit Report Link,Code Repository
Trail_of_Bits-0x-protocol,Trail_of_Bits,0x-protocol,https://github.com/trailofbits/publications/blob/master/reviews/0x-protocol.pdf,https://github.com/0xProject/0x-monorepo/commit/abd479dc68fa75719647db261130418725fd40d5
Trail_of_Bits-88mph,Trail_of_Bits,88mph,https://github.com/trailofbits/publications/blob/master/reviews/88mph.pdf,https://github.com/88mphapp/88mph-contracts/commit/76cd9d1fc45e65f5d0f686621fe6af85c40aa140
Trail_of_Bits-API3,Trail_of_Bits,API3,https://github.com/trailofbits/publications/blob/master/reviews/API3.pdf,https://github.com/api3dao/airnode/commit/991af4d69e82c1954a5c6c8e247cde8eb76101de
Trail_of_Bits-BalancerCore,Trail_of_Bits,BalancerCore,https://github.com/trailofbits/publications/blob/master/reviews/BalancerCore.pdf,https://github.com/balancer-labs/balancer-core/commit/942a51e202cc5bf9158bad77162bc72aa0a8afaf
Trail_of_Bits-CompliFi,Trail_of_Bits,CompliFi,https://github.com/trailofbits/publications/blob/master/reviews/CompliFi.pdf,https://github.com/CompliFi/complifi-protocol/commit/912e93014aa16a9b6987556d971ed2b599b8cba7
Trail_of_Bits-FraxFinance,Trail_of_Bits,FraxFinance,https://github.com/trailofbits/publications/blob/master/reviews/FraxFinance.pdf,https://github.com/FraxFinance/frax-solidity/commit/3f0993a70e3496fd27887db7754d68709c84015e
Trail_of_Bits-FraxQ42021,Trail_of_Bits,FraxQ42021,https://github.com/trailofbits/publications/blob/master/reviews/FraxQ42021.pdf,https://github.com/FraxFinance/frax-solidity/commit/bd40775e283923aa9e32a107abd426430a99835e
*/Trail_of_Bits-BalancerCore,Trail_of_Bits,FujiProtocol,https://github.com/trailofbits/publications/blob/master/reviews/FujiProtocol.pdf,https://github.com/Fujicracy/fuji-protocol/commit/933ea57b11889d87744efa23e95c90b7bf589402
Trail_of_Bits-Liquity,Trail_of_Bits,Liquity,https://github.com/trailofbits/publications/blob/master/reviews/Liquity.pdf,https://github.com/liquity/dev/tree/f0df3efa5a5f05b205752184cfce107c5bd6e06c
Trail_of_Bits-LiquityProtocolandStabilityPoolFinalReport,Trail_of_Bits,LiquityProtocolandStabilityPoolFinalReport,https://github.com/trailofbits/publications/blob/master/reviews/LiquityProtocolandStabilityPoolFinalReport.pdf,https://github.com/liquity/dev/tree/8cec3fda04b8c71994dc14858386bf6a161164fc
Trail_of_Bits-MapleFinance,Trail_of_Bits,MapleFinance,https://github.com/trailofbits/publications/blob/master/reviews/MapleFinance.pdf,https://github.com/maple-labs/debt-locker/commit/05b4f2fe119e2ddf3dc0e441055c602f748e7d52
Trail_of_Bits-Opyn-Gamma-Protocol,Trail_of_Bits,Opyn-Gamma-Protocol,https://github.com/trailofbits/publications/blob/master/reviews/Opyn-Gamma-Protocol.pdf,https://github.com/opynfinance/GammaProtocol/commit/9a75da2ad8beefdaa4caa97d17799b50552ca450
*/Trail_of_Bits-CompliFi,Trail_of_Bits,Opyn,https://github.com/trailofbits/publications/blob/master/reviews/Opyn.pdf,https://github.com/opynfinance/squeeth-monorepo/commit/427ba395545de44920206deaa4bcc217b3964952
Trail_of_Bits-OriginDollar,Trail_of_Bits,OriginDollar,https://github.com/trailofbits/publications/blob/master/reviews/OriginDollar.pdf,https://github.com/OriginProtocol/origin-dollar/commit/81431fd3b2aa4c518ffc389844f9708c00b516f0
Trail_of_Bits-PerpetualProtocolV2,Trail_of_Bits,PerpetualProtocolV2,https://github.com/trailofbits/publications/blob/master/reviews/PerpetualProtocolV2.pdf,https://github.com/perpetual-protocol/perp-oracle-contract/commit/ba78a5b87098dcffb7285fc585afff1001a87232
Trail_of_Bits-Primitive,Trail_of_Bits,Primitive,https://github.com/trailofbits/publications/blob/master/reviews/Primitive.pdf,https://github.com/primitivefinance/rmm-core/commit/5dcf4306fc32fb9a4e3c154deb86f6b9d513c344
Trail_of_Bits-RocketPool,Trail_of_Bits,RocketPool,https://github.com/trailofbits/publications/blob/master/reviews/RocketPool.pdf,https://github.com/rocket-pool/rocketpool/commit/a65b203cf99c7a991c2d85a7468a97bfb5dbba31
Trail_of_Bits-SeaportProtocol,Trail_of_Bits,SeaportProtocol,https://github.com/trailofbits/publications/blob/master/reviews/SeaportProtocol.pdf,https://github.com/ProjectOpenSea/seaport/commit/f17082fca3e99b409f53040d8858e84b0246aa22
